member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Aqua,8751,936,1791,1080,1802,1304,1830,997
Miko,1198,751,2544,1765,2837,2175,1423,379
Pekora,1157,553,1452,1214,5877,0,0,0
Marine,768,250,771,1015,1398,1207,1138,628
Fubuki,658,313,999,1165,1469,1096,676,474
Suisei,370,190,983,886,4116,0,0,0
Subaru,518,338,824,841,1169,1146,965,392
Mio,798,548,705,792,961,916,1314,0
FuwaMoco,846,278,760,4070,0,0,0,0
Koyori,455,259,661,795,1787,1871,0,0
Watame,427,233,699,762,1249,899,1059,374
Towa,621,163,503,761,1163,965,506,190
AZki,428,370,1031,1233,1361,191,253,0
Raora,2689,2143,0,0,0,0,0,0
Cecilia,2737,2001,0,0,0,0,0,0
Ririka,1053,336,1035,2149,0,0,0,0
Polka,519,323,912,473,566,563,744,0
Bijou,489,249,723,1810,823,0,0,0
Lamy,263,122,362,403,695,935,1148,0
Okayu,343,160,571,675,740,601,577,225
Kanata,211,89,356,556,1030,725,552,344
Fauna,263,158,505,515,1095,1287,0,0
Noel,374,208,631,598,758,531,439,201
Raden,421,210,517,2537,0,0,0,0
Mumei,556,203,508,515,604,1239,0,0
Korone,259,124,388,347,624,1776,0,0
Shiori,542,236,687,1991,0,0,0,0
Calli,435,199,485,538,559,551,644,0
Shion,706,78,171,316,558,640,624,285
Elizabeth,3366,0,0,0,0,0,0,0
Flare,322,135,317,377,591,673,623,292
Gura,101,58,233,301,457,633,1459,0
Nerissa,339,183,432,1897,372,0,0,0
Gigi,1879,1026,0,0,0,0,0,0
Luna,226,148,432,473,803,340,282,153
Chloe,240,120,341,394,747,955,0,0
Sora,232,106,394,435,597,303,570,0
Kanade,233,136,494,1712,0,0,0,0
Kaela,359,160,433,455,688,345,0,0
Botan,125,62,223,318,484,501,646,0
Kiara,173,97,224,303,366,400,784,0
Ina,78,42,157,178,412,528,905,0
Baelz,209,107,386,355,535,626,0,0
Lui,183,81,327,333,510,757,0,0
IRyS,105,87,298,234,528,890,0,0
Hajime,212,122,416,1208,0,0,0,0
Ao,376,188,488,875,0,0,0,0
Kronii,146,99,290,309,314,708,0,0
Aki,229,103,317,517,227,178,233,0
Ayame,74,54,136,236,453,816,0,0
Haato,267,82,230,278,136,213,331,111
Amelia,107,51,113,111,228,295,591,0
Iroha,27,81,109,209,387,616,0,0
Risu,356,173,256,171,140,60,71,0
Laplus,41,21,110,92,804,0,0,0
Roboco,137,54,179,157,167,354,0,0
Zeta,124,63,143,122,208,134,0,0
Choco,82,37,136,141,178,73,113,0
Iofi,216,86,140,102,82,57,72,0
Ollie,135,38,135,103,101,208,0,0
Reine,135,39,76,64,83,147,156,0
Matsuri,62,27,54,78,149,319,0,0
Anya,173,62,134,86,87,50,64,0
Moona,86,58,110,77,111,91,76,4
Kobo,28,20,60,80,113,83,0,0
