member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Watame,2344,1026,2120,1248,2003,1709,355,0
Miko,1131,698,2233,1751,2851,1497,349,32
Pekora,1043,546,1653,1313,4718,0,0,0
Koyori,1037,878,2003,1657,2555,0,0,0
Fubuki,1438,673,1413,1260,1789,953,417,135
Choco,6685,141,246,164,285,155,62,0
Suisei,633,425,1631,1038,3152,0,0,0
Marine,594,331,1024,1099,1509,1364,507,0
Flare,1595,545,995,634,1124,813,335,0
Subaru,1038,594,663,696,1587,1377,0,0
Iroha,1053,409,1310,729,2242,0,0,0
Aqua,659,206,518,658,1196,1336,540,105
Fauna,647,435,1201,962,1851,0,0,0
Lui,1345,567,1039,792,1344,0,0,0
Okayu,519,310,948,706,1331,1241,0,0
Ina,529,276,686,467,1350,1721,0,0
Nene,619,421,1078,674,827,985,0,0
Calli,702,412,699,505,938,1001,0,0
Aki,2197,532,457,156,419,457,0,0
Lamy,232,171,473,582,1310,1306,0,0
Mio,581,345,412,499,1029,1178,0,0
Korone,291,125,420,492,1013,1588,0,0
Luna,823,480,929,624,495,436,133,0
Gura,295,136,320,347,950,1720,0,0
Kanata,318,256,859,516,889,491,252,0
Sora,815,432,731,409,444,694,0,0
Kronii,424,384,608,373,1612,0,0,0
AZki,1022,577,807,301,242,369,0,0
Kiara,477,272,492,304,744,963,0,0
Amelia,245,143,380,391,773,1205,0,0
Towa,242,160,684,517,924,549,0,0
Botan,330,174,524,430,752,841,0,0
Noel,399,226,540,382,702,574,0,0
IRyS,290,186,450,535,1353,0,0,0
Kaela,539,286,784,911,286,0,0,0
Shion,325,178,331,232,812,635,183,52
Laplus,225,135,356,312,1628,0,0,0
Chloe,295,240,608,465,1029,0,0,0
Baelz,314,221,569,375,813,0,0,0
Polka,286,122,281,323,534,682,0,0
Mumei,222,146,327,345,881,0,0,0
Ayame,144,94,194,382,425,561,0,0
Matsuri,237,140,351,243,259,342,0,0
Zeta,407,193,301,294,190,0,0,0
Roboco,337,137,222,99,136,260,0,0
Kobo,182,107,252,250,181,0,0,0
Mel,134,92,258,163,175,139,0,0
Moona,242,103,188,141,156,100,0,0
Risu,249,113,177,107,85,106,0,0
Reine,94,38,87,104,194,214,0,0
Iofi,91,62,130,59,86,96,0,0
Ollie,90,77,90,58,98,99,0,0
Anya,112,51,106,237,0,0,0,0
