member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,757,569,2036,2301,2617,1970,1409,896
Pekora,746,658,1292,1067,5152,0,0,0
Fubuki,930,570,1376,1156,1642,1067,982,721
Suisei,765,365,977,964,4836,0,0,0
Subaru,618,344,990,900,1172,843,1154,663
Okayu,598,342,881,782,1188,883,710,644
Watame,303,301,681,666,1217,804,1032,821
Mio,587,365,640,752,884,807,1384,0
Marine,298,315,574,538,1111,873,758,830
AZki,346,291,857,1104,2023,356,181,62
Koyori,331,192,512,542,1231,1309,988,0
Raden,699,311,893,653,2353,0,0,0
Kanata,327,274,564,472,936,962,742,586
Calli,801,480,830,540,705,458,540,394
FuwaMoco,781,303,652,542,2325,0,0,0
Cecilia,833,591,1202,1886,0,0,0,0
Gura,364,207,390,345,519,608,1937,0
Bijou,609,351,697,679,1893,0,0,0
Raora,669,492,952,1813,0,0,0,0
Kanade,690,372,824,447,1429,0,0,0
Ina,195,155,318,254,425,687,859,837
Gigi,846,466,1227,1091,0,0,0,0
Polka,433,222,567,614,528,469,349,432
Noel,398,155,483,518,741,438,479,252
Lamy,165,143,398,360,485,637,575,601
Baelz,351,189,574,401,656,410,526,0
Iroha,227,120,337,323,722,1302,0,0
Korone,237,151,267,313,480,370,1148,0
Chihaya,516,570,1835,0,0,0,0,0
Nene,318,151,334,363,568,372,409,386
Shiori,407,283,499,461,1142,0,0,0
Vivi,1274,1233,271,0,0,0,0,0
Sora,301,204,333,349,586,340,663,0
Su,848,788,1133,0,0,0,0,0
Ririka,431,265,515,513,1003,0,0,0
Elizabeth,442,304,783,1190,0,0,0,0
Aki,477,225,384,331,596,195,368,0
Nerissa,277,209,433,309,1279,0,0,0
Towa,122,86,228,283,594,598,342,244
Luna,287,159,336,308,471,334,268,262
Flare,155,66,179,190,467,429,526,377
Shion,122,107,467,268,384,264,362,375
Kronii,303,169,343,244,336,296,627,0
Kiara,168,98,259,195,328,302,465,456
Kaela,364,153,337,314,502,458,0,0
IRyS,101,70,185,244,416,431,633,0
Lui,184,118,261,276,448,439,324,0
Hajime,310,162,466,284,791,0,0,0
Ayame,138,126,238,144,314,1046,0,0
Mumei,149,84,200,240,403,917,0,0
Botan,111,79,151,164,352,398,337,350
Riona,942,345,637,0,0,0,0,0
Niko,582,986,291,0,0,0,0,0
Ao,315,180,419,311,604,0,0,0
Matsuri,312,139,168,101,144,417,0,0
Risu,314,128,223,186,133,74,23,42
Haato,167,75,148,118,156,111,161,172
Choco,124,63,138,119,285,131,175,0
Moona,291,71,127,78,109,118,101,51
Laplus,39,36,81,83,666,0,0,0
Roboco,129,50,131,126,137,70,252,0
Ollie,204,80,144,92,122,175,0,0
Zeta,147,59,112,88,122,181,0,0
Iofi,164,52,81,58,59,50,35,34
Reine,56,26,46,38,54,86,177,0
Kobo,17,14,36,37,58,102,0,0
Anya,27,14,27,27,38,34,44,0
