member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,2561,1093,2443,2067,3549,1601,283,0
Suisei,2067,1065,1926,1498,4183,0,0,0
Pekora,1063,782,2019,1198,5161,0,0,0
Koyori,2027,1088,2548,1831,2567,0,0,0
Marine,897,466,1361,1563,2222,1915,368,0
Watame,1285,614,1423,1318,2110,1553,162,0
Nene,2076,743,1339,625,1206,1018,0,0
Fubuki,939,511,1351,1015,1924,881,271,86
Gura,671,324,465,786,1683,2224,0,0
Kanata,925,501,1362,937,1305,1006,0,0
Iroha,1029,660,1317,783,2235,0,0,0
Fauna,1154,563,957,943,1761,0,0,0
Chloe,720,542,1312,622,1673,0,0,0
Okayu,664,443,810,734,1129,1031,0,0
Subaru,197,154,475,762,1955,1190,0,0
Lamy,296,155,549,933,1241,1262,0,0
Ayame,530,104,642,794,1105,1049,0,0
Laplus,640,206,352,772,2201,0,0,0
Lui,941,407,947,755,1004,0,0,0
IRyS,528,231,751,601,1867,0,0,0
Korone,381,174,466,453,1078,1381,0,0
Calli,937,323,435,515,1006,694,0,0
Amelia,554,256,429,490,1037,1144,0,0
Ina,387,211,486,560,1118,1146,0,0
Kiara,748,249,387,386,1053,954,0,0
Aqua,192,116,445,511,989,1029,333,52
Kaela,803,525,1091,1063,0,0,0,0
Towa,251,200,686,856,914,545,0,0
Sora,987,330,491,438,518,634,0,0
Botan,491,313,570,545,775,697,0,0
Luna,706,375,820,413,576,419,68,0
Mio,133,89,447,653,965,1059,0,0
Flare,317,209,461,538,930,659,144,0
Baelz,760,336,546,457,1159,0,0,0
Shion,508,60,209,440,862,661,107,35
Noel,334,243,488,430,787,519,0,0
Kronii,357,164,296,424,1519,0,0,0
Mumei,310,147,377,468,1038,0,0,0
Polka,159,141,272,459,584,653,0,0
Kobo,400,203,547,893,0,0,0,0
Aki,757,112,92,220,291,400,0,0
AZki,392,199,338,227,267,289,0,0
Matsuri,242,180,390,243,302,321,0,0
Mel,326,176,364,172,213,161,0,0
Zeta,344,164,360,537,0,0,0,0
Roboco,310,150,208,110,243,301,0,0
Moona,275,108,192,154,208,102,0,0
Reine,178,78,126,179,265,173,0,0
Ollie,272,69,97,84,212,106,0,0
Risu,221,69,162,120,111,107,0,0
Anya,228,90,148,284,0,0,0,0
Iofi,205,61,113,73,86,71,0,0
Choco,56,35,44,68,107,57,22,0
