member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,525,322,1541,1758,2459,1631,591,80
Marine,682,316,1006,968,1574,1271,941,0
Pekora,333,223,764,1077,4199,0,0,0
Koyori,434,277,1130,1560,3178,0,0,0
FuwaMoco,725,923,4861,0,0,0,0,0
Watame,399,279,1177,1137,1340,1394,706,0
Fubuki,426,448,1007,954,1426,812,449,160
Subaru,386,293,923,599,1196,1713,0,0
Okayu,425,198,701,902,1133,1509,0,0
Nerissa,1244,813,2684,0,0,0,0,0
Ririka,2911,1728,0,0,0,0,0,0
Suisei,210,284,682,1013,2445,0,0,0
Raden,1738,2861,0,0,0,0,0,0
Bijou,544,661,3110,0,0,0,0,0
Chloe,371,229,576,1045,2073,0,0,0
Iroha,373,177,712,921,2070,0,0,0
Mio,219,173,639,547,946,801,663,0
AZki,534,279,1392,913,358,390,0,0
Lamy,204,143,407,498,1084,858,627,0
Shiori,805,1358,1599,0,0,0,0,0
Nene,369,193,658,749,685,681,326,0
Kanata,123,124,419,840,883,684,439,0
Fauna,218,175,605,771,1003,735,0,0
Ayame,190,97,397,488,869,1298,0,0
Towa,217,195,514,655,935,559,228,0
Noel,306,207,675,558,633,910,0,0
Lui,330,260,708,533,1432,0,0,0
Ina,70,64,285,437,735,1093,513,0
Calli,281,250,565,430,609,1002,0,0
Mumei,214,186,578,443,858,833,0,0
Botan,304,177,474,414,636,663,317,0
IRyS,231,150,424,511,755,853,0,0
Aqua,119,90,571,301,505,636,488,145
Korone,91,93,261,349,552,1461,0,0
Haato,990,173,289,129,375,802,0,0
Kaela,371,334,735,608,701,0,0,0
Polka,239,178,410,329,653,476,383,0
Flare,77,81,414,359,664,623,345,46
Kronii,162,156,458,366,558,839,0,0
Sora,133,145,578,454,460,734,0,0
Kiara,123,76,303,331,506,721,374,0
Hajime,1377,948,0,0,0,0,0,0
Kanade,2314,0,0,0,0,0,0,0
Aki,524,368,435,231,266,380,0,0
Baelz,215,164,438,431,549,399,0,0
Amelia,83,89,243,235,447,731,345,0
Gura,30,11,120,147,443,1235,0,0
Laplus,121,48,164,245,1238,0,0,0
Shion,106,84,286,186,370,426,241,66
Luna,79,78,351,418,358,220,171,0
Ao,1097,507,0,0,0,0,0,0
Kobo,425,164,340,258,392,0,0,0
Matsuri,158,83,234,222,240,384,0,0
Zeta,326,136,267,213,340,0,0,0
Mel,199,84,260,218,213,108,83,0
Roboco,132,83,247,160,163,345,0,0
Choco,73,41,214,74,121,78,66,0
Ollie,106,66,140,91,82,142,0,0
Risu,63,44,143,84,94,54,37,0
Reine,26,27,82,47,134,194,0,0
Moona,42,35,71,84,138,85,23,0
Anya,99,37,83,257,0,0,0,0
Iofi,55,32,79,66,76,70,32,0
