member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,858,680,2373,1604,2433,1876,1007,292
Watame,800,356,1167,1198,1843,1439,1326,319
Pekora,566,365,1217,998,4677,0,0,0
Gura,737,250,794,412,939,3790,0,0
Fubuki,595,309,1024,1061,1340,1008,542,360
Aqua,1050,522,612,781,824,754,1021,554
Subaru,439,284,871,879,1102,1190,805,313
AZki,412,523,1285,1654,1110,182,263,0
Suisei,418,269,907,779,3006,0,0,0
Koyori,299,212,551,879,1714,1563,0,0
Okayu,411,276,963,645,929,810,658,219
Marine,196,164,558,797,1082,818,823,329
Kanata,265,203,573,592,1195,904,563,296
Iroha,438,156,568,721,1143,1434,0,0
FuwaMoco,203,167,736,3314,0,0,0,0
Nene,665,291,685,664,803,537,627,0
Polka,1049,513,545,410,570,446,568,0
Bijou,392,258,953,2462,0,0,0,0
Fauna,288,184,543,628,1188,1180,0,0
Ina,282,146,334,351,686,887,1261,0
Raden,441,185,836,2432,0,0,0,0
Noel,378,285,658,695,654,821,240,88
Korone,295,134,402,363,680,1916,0,0
Calli,347,174,701,617,599,559,587,0
Lamy,170,141,304,394,685,862,950,0
Chloe,327,218,467,487,927,1056,0,0
Kiara,373,184,471,475,500,578,890,0
Towa,245,134,462,541,892,723,346,116
Hajime,567,338,876,1638,0,0,0,0
Sora,316,229,539,576,684,413,505,0
Lui,378,219,526,560,763,791,0,0
Kanade,500,223,803,1687,0,0,0,0
Ririka,389,284,1022,1517,0,0,0,0
Luna,275,183,514,566,827,382,351,100
IRyS,214,115,477,396,746,1204,0,0
Nerissa,290,156,577,1776,0,0,0,0
Kronii,224,191,464,430,468,987,0,0
Mio,284,62,281,368,448,530,684,0
Shiori,214,206,638,1596,0,0,0,0
Botan,129,62,235,433,535,565,622,0
Kaela,358,207,529,539,739,175,0,0
Flare,95,74,285,444,506,525,436,159
Baelz,167,142,437,410,459,512,0,0
Laplus,195,112,239,205,1344,0,0,0
Mumei,86,65,258,323,449,750,0,0
Amelia,140,67,125,133,291,304,608,0
Ao,230,143,635,555,0,0,0,0
Haato,170,107,269,281,149,228,287,68
Aki,63,70,365,402,231,179,240,0
Choco,133,95,217,187,203,143,131,0
Risu,204,121,279,167,133,57,77,0
Kobo,87,81,153,180,282,140,0,0
Matsuri,40,28,93,115,237,354,0,0
Zeta,121,58,147,165,232,103,0,0
Reine,77,44,123,107,113,153,169,0
Ollie,135,82,165,110,99,162,0,0
Roboco,35,13,110,90,91,294,0,0
Iofi,32,38,96,63,76,48,69,0
Moona,27,21,60,52,93,84,62,0
Anya,40,19,85,204,0,0,0,0
