member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Pekora,2526,1163,2043,1217,5961,0,0,0
Miko,1468,784,2023,2293,3102,1250,207,0
Suisei,1688,675,1595,1876,4239,0,0,0
Watame,1746,779,1463,1405,2433,1459,0,0
Koyori,2088,1227,1999,1807,2093,0,0,0
Marine,810,493,1400,1164,1922,1606,226,0
Kanata,1867,816,1089,982,1678,999,0,0
Ina,1239,247,655,1088,2273,1701,0,0
Chloe,1526,1125,1016,1121,1723,0,0,0
Iroha,1407,764,796,1035,2374,0,0,0
Towa,1230,477,871,1029,1161,592,0,0
Okayu,809,395,698,1083,1457,906,0,0
Fubuki,574,356,1043,933,1392,667,176,56
Lamy,381,245,669,1021,1450,1130,0,0
Subaru,196,139,633,745,2141,941,0,0
Nene,887,464,914,578,1232,704,0,0
Lui,965,620,954,925,1057,0,0,0
Korone,298,171,506,606,1420,1316,0,0
Flare,665,300,706,602,1223,643,127,0
Ayame,438,305,936,364,1347,824,0,0
Amelia,633,225,486,482,1256,1105,0,0
Aqua,273,252,503,651,1135,1059,237,34
Luna,956,423,849,410,698,510,0,0
Mumei,609,322,652,650,1557,0,0,0
Fauna,600,308,837,718,1314,0,0,0
Sora,942,327,662,422,1423,0,0,0
IRyS,474,425,609,578,1613,0,0,0
Mio,157,261,322,786,1006,972,0,0
Noel,657,284,465,508,939,599,0,0
Kronii,490,170,430,516,1666,0,0,0
Kaela,834,516,1301,594,0,0,0,0
Botan,473,188,518,524,898,616,0,0
Polka,470,195,459,457,715,726,0,0
Kiara,247,142,272,394,914,708,0,0
Calli,359,183,387,394,892,440,0,0
Matsuri,864,262,430,239,396,366,0,0
Kobo,601,322,740,848,0,0,0,0
Baelz,391,222,456,442,836,0,0,0
Zeta,506,227,424,418,0,0,0,0
Mel,479,146,320,195,218,168,0,0
Roboco,328,167,209,140,320,304,0,0
Haato,277,147,301,118,294,248,0,0
AZki,265,148,204,228,480,0,0,0
Shion,54,22,70,226,458,317,71,0
Reine,82,49,116,170,429,0,0,0
Aki,44,17,69,224,186,267,0,0
Risu,189,69,183,125,122,92,0,0
Moona,76,59,185,146,199,75,0,0
Iofi,187,74,132,74,89,84,0,0
Ollie,95,38,80,95,297,0,0,0
Anya,154,64,85,215,0,0,0,0
Choco,27,0,62,267,0,0,0,0
