member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Pekora,1355,769,1842,1341,5374,0,0,0
Miko,1261,610,1990,2470,3063,1090,133,0
Koyori,2791,1173,1916,2538,1373,0,0,0
Suisei,1165,849,1253,2088,4027,0,0,0
Watame,1616,679,1400,1471,2542,1398,0,0
Chloe,2795,939,862,2715,0,0,0,0
Kanata,1777,522,1063,1163,1800,951,0,0
Marine,712,565,1229,1142,1938,1362,139,0
Fubuki,737,484,1266,1282,1634,787,179,56
Lamy,610,305,780,1214,1717,1095,0,0
Nene,1627,471,953,635,1311,624,0,0
Ayame,652,198,1184,639,1929,919,0,0
Iroha,1255,463,620,1989,917,0,0,0
Aqua,450,201,621,905,1632,1134,216,27
Okayu,773,257,685,1131,1478,809,0,0
Lui,1433,635,988,1004,761,0,0,0
Subaru,157,164,639,864,2004,819,0,0
Towa,915,270,796,1125,976,499,0,0
Mio,453,140,447,1043,1367,1104,0,0
Gura,163,185,509,574,1677,1147,0,0
IRyS,1002,333,578,665,1526,0,0,0
Fauna,584,362,867,811,1452,0,0,0
Flare,594,254,722,576,1182,598,86,0
Mumei,578,277,682,705,1564,0,0,0
Kaela,1183,615,1321,435,0,0,0,0
Korone,375,207,322,455,1151,972,0,0
Amelia,210,108,431,401,1177,790,0,0
Calli,396,178,469,493,1071,490,0,0
Kronii,349,155,425,504,1601,0,0,0
Polka,349,152,487,534,782,646,0,0
Kiara,262,152,350,451,1042,667,0,0
Noel,527,229,408,499,795,461,0,0
Kobo,797,410,799,830,0,0,0,0
Botan,247,159,435,469,898,481,0,0
Baelz,501,220,465,547,889,0,0,0
Haato,808,413,439,194,459,289,0,0
Luna,552,300,613,268,475,339,0,0
Sora,399,222,464,303,1096,0,0,0
Shion,109,48,206,507,912,536,109,0
Zeta,603,289,492,367,0,0,0,0
Matsuri,355,161,354,189,354,305,0,0
Roboco,419,138,203,181,330,303,0,0
AZki,283,121,174,163,420,0,0,0
Aki,38,30,86,297,267,339,0,0
Reine,75,57,151,173,399,0,0,0
Moona,111,80,201,148,195,71,0,0
Mel,101,103,152,136,148,121,0,0
Ollie,102,49,83,99,296,0,0,0
Anya,170,63,118,269,0,0,0,0
Iofi,175,76,105,73,90,64,0,0
Risu,127,68,137,75,91,67,0,0
Choco,55,0,82,403,0,0,0,0
