member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,442,455,1613,1799,2613,1660,510,67
Pekora,498,353,1067,1238,4866,0,0,0
FuwaMoco,1497,3605,2414,0,0,0,0,0
Fubuki,910,440,1293,1161,1758,1104,527,188
Suisei,761,429,1135,1529,3465,0,0,0
Koyori,651,498,1321,1642,2936,0,0,0
Watame,402,297,1287,1141,1428,1500,651,0
Bijou,1305,2988,972,0,0,0,0,0
Raden,5125,0,0,0,0,0,0,0
Subaru,372,325,917,550,1222,1652,0,0
Calli,1018,476,804,514,805,1099,0,0
Marine,260,221,688,712,1030,968,645,0
Nerissa,1221,3132,0,0,0,0,0,0
Fauna,329,271,777,932,1204,793,0,0
Shiori,2035,2182,0,0,0,0,0,0
Aqua,224,255,723,454,771,956,577,150
Korone,189,108,406,464,695,1818,0,0
Lamy,177,149,356,464,1121,942,453,0
Towa,396,214,499,699,1030,801,0,0
Luna,351,272,983,663,626,427,280,0
Mumei,375,312,566,482,1073,772,0,0
Kanata,176,153,459,807,873,656,400,0
Iroha,139,126,548,739,1771,0,0,0
Mio,176,176,537,422,763,702,496,0
Noel,342,214,701,515,632,812,0,0
IRyS,160,125,436,583,959,938,0,0
Ina,137,103,325,381,733,1147,367,0
Lui,448,298,722,513,1159,0,0,0
Kaela,493,401,756,722,745,0,0,0
Ririka,3112,0,0,0,0,0,0,0
Nene,226,166,583,637,649,560,287,0
Aki,1052,325,641,226,340,478,0,0
Chloe,227,141,473,755,1426,0,0,0
Kiara,241,169,424,346,597,927,313,0
Sora,221,280,665,466,510,812,0,0
Flare,179,170,562,386,666,617,330,18
Baelz,393,194,585,531,754,448,0,0
AZki,221,237,1173,591,224,281,0,0
Amelia,148,122,300,280,565,941,352,0
Kronii,231,166,451,317,571,742,0,0
Polka,138,116,296,249,528,430,272,0
Ayame,106,102,183,307,519,762,0,0
Hajime,1956,0,0,0,0,0,0,0
Kobo,472,186,365,343,521,0,0,0
Shion,125,91,296,179,403,476,227,67
Botan,149,95,236,259,389,401,183,0
Okayu,90,80,204,242,352,525,0,0
Zeta,385,143,300,233,320,0,0,0
Matsuri,86,70,204,230,273,375,0,0
Ao,1207,0,0,0,0,0,0,0
Mel,147,94,241,221,254,122,97,0
Ollie,197,127,196,90,119,208,0,0
Choco,92,77,232,106,152,99,63,0
Reine,93,70,118,70,181,228,0,0
Risu,111,81,193,116,97,66,38,0
Roboco,40,24,113,97,119,282,0,0
Laplus,16,14,58,58,439,0,0,0
Moona,44,49,96,100,147,117,19,0
Anya,103,47,102,281,0,0,0,0
Iofi,66,53,84,74,82,57,30,0
