member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,840,504,1672,2143,2911,1946,876,160
Pekora,1111,601,1242,1220,5269,0,0,0
Marine,1052,631,1323,1243,1911,1452,1250,184
Koyori,611,429,1291,1463,2363,1365,0,0
FuwaMoco,1249,621,5420,0,0,0,0,0
Suisei,521,297,1053,1427,3819,0,0,0
Watame,537,376,920,1335,1354,1317,853,0
Fubuki,652,401,1069,1104,1405,1036,584,211
Kanata,872,385,828,1012,1455,1105,734,0
Okayu,722,385,757,810,1250,1349,268,75
Iroha,572,518,634,1183,1240,1413,0,0
Subaru,428,271,779,823,1075,2082,0,0
Bijou,988,607,3622,0,0,0,0,0
Ririka,1406,1112,2628,0,0,0,0,0
Towa,750,248,754,736,1281,699,436,0
AZki,796,618,1263,1377,411,366,0,0
Gura,472,102,294,424,846,2604,0,0
Calli,831,424,855,606,662,766,404,0
Raden,681,416,3449,0,0,0,0,0
Kanade,2144,2366,0,0,0,0,0,0
Mio,490,372,685,506,949,721,725,0
Nerissa,880,495,3016,0,0,0,0,0
Shiori,903,458,3025,0,0,0,0,0
Ina,366,145,396,494,838,1167,883,0
Aqua,280,164,610,516,747,717,797,235
Fauna,293,186,631,872,1097,977,0,0
Nene,454,304,675,751,644,648,396,0
Lui,469,292,758,622,838,514,0,0
IRyS,260,168,498,543,871,1126,0,0
Korone,211,85,275,426,582,1657,0,0
Flare,216,112,441,509,645,747,422,91
Noel,440,217,592,519,532,832,0,0
Hajime,840,469,1813,0,0,0,0,0
Amelia,308,153,335,297,558,761,696,0
Baelz,539,259,547,566,590,576,0,0
Polka,305,129,464,407,696,518,556,0
Sora,296,172,621,624,479,873,0,0
Ayame,224,191,347,302,732,1202,0,0
Luna,311,134,501,618,603,354,319,0
Kiara,345,190,411,352,404,592,457,0
Kaela,395,195,675,586,848,0,0,0
Lamy,66,52,257,306,741,642,583,0
Ao,1201,470,964,0,0,0,0,0
Chloe,159,144,299,466,663,691,0,0
Kronii,261,146,424,359,418,790,0,0
Botan,119,110,351,324,556,515,386,0
Aki,368,305,676,342,265,205,199,0
Haato,325,227,462,125,231,453,184,0
Laplus,144,64,162,309,1187,0,0,0
Mumei,64,53,237,239,438,500,0,0
Kobo,266,129,340,236,428,0,0,0
Roboco,158,102,243,167,157,407,0,0
Matsuri,163,70,174,190,249,360,0,0
Risu,296,100,231,160,155,68,64,0
Mel,111,68,187,171,170,88,68,8
Zeta,110,59,203,180,303,0,0,0
Moona,147,62,124,113,173,111,50,0
Ollie,133,94,145,102,87,180,0,0
Choco,76,96,138,181,107,69,71,0
Reine,78,41,98,80,154,235,0,0
Iofi,121,46,104,84,102,65,62,0
Anya,59,43,84,216,0,0,0,0
