member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1144,663,1695,2163,2413,1920,1369,551
Pekora,337,272,835,896,4511,0,0,0
Fubuki,652,530,1042,976,1344,1043,675,560
Watame,613,303,714,765,1321,944,1225,642
Suisei,504,242,592,998,4155,0,0,0
Koyori,596,269,655,680,1600,2197,0,0
Subaru,474,264,873,826,1064,988,1025,461
Marine,385,192,594,660,1214,1001,925,761
AZki,792,316,835,1336,1709,248,246,0
Okayu,648,283,676,893,941,775,714,390
Cecilia,1591,697,2990,0,0,0,0,0
Calli,1002,480,750,638,684,610,681,281
Iroha,495,149,517,616,1227,1878,0,0
Chloe,522,200,497,615,1172,1809,0,0
Raora,1177,651,2735,0,0,0,0,0
Lamy,331,155,449,415,743,940,788,591
Noel,589,242,674,611,886,519,503,272
Bijou,682,355,655,861,1736,0,0,0
Nene,625,197,438,546,846,615,675,334
FuwaMoco,539,330,600,684,2039,0,0,0
Fauna,442,215,513,473,1017,843,650,0
Kanata,326,195,343,484,952,678,581,386
Mio,281,153,647,482,691,604,1000,0
Raden,386,368,556,751,1673,0,0,0
Polka,453,240,663,541,557,518,400,314
Luna,419,247,628,503,655,401,309,234
Kanade,552,415,494,1526,294,0,0,0
Nerissa,474,240,489,525,1545,0,0,0
Gigi,676,543,1991,0,0,0,0,0
IRyS,306,142,284,393,611,628,748,0
Korone,146,115,275,367,548,1638,0,0
Lui,432,154,442,437,573,906,0,0
Elizabeth,686,398,1739,0,0,0,0,0
Ririka,489,248,482,718,857,0,0,0
Kronii,475,167,355,276,409,638,471,0
Baelz,497,221,325,430,553,395,293,0
Kiara,283,160,248,253,396,427,596,326
Hajime,462,384,416,464,904,0,0,0
Towa,97,49,284,323,719,610,354,174
Shion,132,101,501,143,424,392,442,313
Sora,206,119,283,350,524,306,546,0
Botan,99,77,201,202,475,437,495,247
Shiori,325,182,356,490,873,0,0,0
Flare,96,57,149,225,433,440,468,278
Aki,269,92,273,346,389,200,286,0
Kaela,194,127,238,292,462,364,0,0
Ao,268,176,308,460,322,0,0,0
Haato,222,114,178,175,166,181,254,147
Ayame,53,46,128,159,255,758,0,0
Matsuri,271,82,136,123,229,524,0,0
Zeta,394,120,198,146,220,219,0,0
Laplus,77,51,92,129,825,0,0,0
Ina,42,30,46,55,135,166,280,136
Risu,189,107,215,146,107,53,30,26
Ollie,181,96,131,107,104,170,0,0
Kobo,137,46,126,122,165,159,0,0
Roboco,68,45,103,117,115,303,0,0
Choco,57,27,88,85,159,82,101,0
Moona,111,39,74,56,89,100,84,18
Reine,19,10,31,37,55,109,171,0
Iofi,89,46,56,59,65,44,68,0
Anya,79,35,44,48,68,36,64,0
