member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,643,478,1547,2020,2652,1838,732,100
Pekora,1018,445,1171,1401,5505,0,0,0
Marine,768,638,1183,1194,1850,1517,1049,107
Suisei,504,327,1252,1709,4120,0,0,0
Watame,597,297,1037,1447,1447,1498,865,0
Koyori,602,400,1271,1496,2638,664,0,0
Fubuki,655,368,1170,1171,1557,1048,552,207
FuwaMoco,865,596,5072,0,0,0,0,0
Ririka,2052,2242,1183,0,0,0,0,0
AZki,1153,620,1611,1232,442,415,0,0
Iroha,742,319,787,1178,1842,594,0,0
Subaru,370,286,862,699,1178,1954,0,0
Okayu,534,287,696,843,1201,1563,0,0
Mio,633,283,753,519,1083,814,749,0
Kanata,383,190,618,940,1127,884,573,0
Ina,378,126,454,588,901,1368,884,0
Kanade,4304,0,0,0,0,0,0,0
Raden,665,1957,1654,0,0,0,0,0
Aqua,261,145,751,446,828,867,708,179
Bijou,763,492,2898,0,0,0,0,0
Nerissa,777,665,2664,0,0,0,0,0
Nene,376,266,673,745,710,748,368,0
Lui,581,354,820,662,988,426,0,0
Noel,462,274,763,613,632,975,0,0
Fauna,266,200,643,813,978,772,0,0
Kiara,523,207,532,441,584,803,547,0
Calli,586,314,686,482,564,971,0,0
Chloe,392,184,493,744,1739,0,0,0
Towa,209,141,583,654,1033,517,303,0
Ayame,367,117,380,362,816,1219,0,0
Kronii,424,216,572,459,554,928,0,0
IRyS,279,167,506,460,814,886,0,0
Lamy,104,105,285,335,835,753,580,0
Sora,238,118,620,609,505,842,0,0
Shiori,497,512,1891,0,0,0,0,0
Korone,119,58,271,356,544,1483,0,0
Shion,291,146,449,312,547,595,371,93
Flare,104,103,394,438,606,687,371,67
Baelz,380,204,554,496,616,505,0,0
Hajime,702,1414,461,0,0,0,0,0
Botan,223,161,379,354,556,572,331,0
Aki,459,348,685,339,307,420,0,0
Luna,197,112,469,524,501,301,243,0
Polka,127,104,347,314,555,428,356,0
Kaela,215,153,575,485,693,0,0,0
Haato,352,355,310,118,258,661,0,0
Ao,841,661,471,0,0,0,0,0
Amelia,85,60,196,229,403,606,373,0
Laplus,108,63,168,226,1087,0,0,0
Roboco,182,124,275,181,148,372,0,0
Matsuri,130,98,158,230,259,397,0,0
Choco,182,139,236,226,191,106,92,0
Kobo,85,116,229,215,444,0,0,0
Mel,106,80,178,202,205,115,93,3
Ollie,207,77,175,112,97,184,0,0
Zeta,118,88,195,172,270,0,0,0
Reine,71,37,111,76,183,232,0,0
Moona,105,37,94,94,146,102,32,0
Anya,106,68,117,316,0,0,0,0
Risu,44,35,110,81,86,44,42,0
Iofi,40,26,73,71,69,54,42,0
