member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1350,669,1523,2300,2872,1910,979,186
Pekora,376,429,894,947,4851,0,0,0
Watame,509,439,854,1338,1342,1263,944,0
FuwaMoco,907,730,5010,0,0,0,0,0
Subaru,641,384,870,960,1129,2334,0,0
Okayu,1015,490,858,837,1316,946,659,159
Marine,351,402,836,936,1269,940,987,154
Koyori,335,241,851,1147,1849,1177,0,0
Fubuki,477,380,881,958,1082,910,449,215
Suisei,231,210,723,909,2920,0,0,0
AZki,554,672,1356,1503,473,291,59,0
Raden,687,446,3614,0,0,0,0,0
Bijou,552,531,2821,498,0,0,0,0
Ririka,805,714,2764,0,0,0,0,0
Kanata,219,295,499,664,1123,817,620,0
Nerissa,572,409,2842,281,0,0,0,0
Shiori,713,458,2777,0,0,0,0,0
Fauna,254,137,532,823,1162,1034,0,0
Mumei,596,212,590,551,823,1153,0,0
Baelz,657,383,726,713,635,767,0,0
Calli,441,364,751,625,581,655,463,0
Ina,120,122,250,357,853,1048,1111,0
Lamy,141,57,319,383,942,828,793,0
Iroha,180,219,517,696,844,982,0,0
Kanade,428,987,1933,0,0,0,0,0
Chloe,262,160,479,572,905,968,0,0
Mio,158,212,555,442,721,583,664,0
Gura,365,80,214,301,573,1738,0,0
Korone,141,131,233,374,541,1580,0,0
IRyS,108,118,325,457,740,1095,0,0
Noel,294,205,521,506,500,779,0,0
Ao,873,663,1205,0,0,0,0,0
Ayame,183,226,300,282,628,1077,0,0
Hajime,468,432,1739,0,0,0,0,0
Nene,162,133,423,555,512,431,390,0
Kaela,439,194,620,554,797,0,0,0
Kiara,127,137,319,311,445,654,591,0
Lui,195,172,525,466,675,530,0,0
Flare,119,98,300,443,516,573,406,98
Luna,147,152,377,589,586,363,314,0
Sora,167,140,439,537,484,747,0,0
Aqua,136,97,279,392,398,432,513,191
Aki,328,263,720,354,272,197,280,0
Kronii,190,145,398,417,421,834,0,0
Botan,131,95,370,307,558,463,435,0
Polka,181,122,336,320,522,375,456,0
Choco,706,380,393,293,223,148,131,0
Towa,123,162,256,310,594,345,234,0
Haato,214,186,438,150,200,313,309,0
Amelia,82,64,145,183,318,429,413,0
Kobo,154,135,307,212,454,0,0,0
Roboco,182,91,209,180,166,378,0,0
Laplus,99,37,89,164,678,0,0,0
Risu,213,117,190,138,123,62,63,0
Zeta,118,71,198,161,314,0,0,0
Reine,132,64,96,91,145,242,0,0
Ollie,112,63,131,102,84,184,0,0
Matsuri,61,21,85,84,158,188,0,0
Iofi,110,58,104,81,89,62,59,0
Anya,85,50,100,273,0,0,0,0
