member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,589,678,1524,1915,2533,1689,404,48
FuwaMoco,6001,2438,0,0,0,0,0,0
Koyori,874,507,1566,1854,3364,0,0,0
Pekora,410,326,1038,1231,4611,0,0,0
Suisei,552,365,1186,1402,3277,0,0,0
Watame,366,318,1399,1011,1382,1476,540,0
Fubuki,493,298,1149,1082,1555,930,444,145
Bijou,3967,2094,0,0,0,0,0,0
Subaru,425,294,1024,544,1414,1607,0,0
Marine,417,373,696,801,1154,1057,659,0
Ina,294,156,453,602,1142,2115,0,0
Calli,1002,417,798,474,903,1141,0,0
Aqua,544,432,622,458,822,1049,531,141
Okayu,446,276,649,746,1076,1247,0,0
Flare,387,285,902,520,961,929,410,0
Sora,868,504,1052,521,544,868,0,0
Kanata,273,151,637,930,1062,754,444,0
Iroha,275,164,860,832,2064,0,0,0
Chloe,289,213,756,968,1934,0,0,0
Nerissa,3461,606,0,0,0,0,0,0
Fauna,382,237,829,770,1592,218,0,0
Shiori,4011,0,0,0,0,0,0,0
Lamy,214,140,433,488,1219,1479,0,0
Gura,120,181,325,325,887,2041,0,0
Mio,455,306,594,396,821,732,507,0
Mumei,603,307,615,469,1421,358,0,0
Lui,454,273,833,643,1492,0,0,0
Korone,181,95,445,433,791,1620,0,0
Botan,408,214,482,481,767,860,203,0
Kronii,444,245,664,353,1150,544,0,0
Nene,254,213,759,636,670,665,195,0
Kiara,311,229,537,345,652,1234,0,0
Luna,319,271,896,648,556,361,240,0
Amelia,279,135,335,308,668,1347,0,0
AZki,328,332,1343,425,242,309,0,0
Kaela,533,360,659,727,583,0,0,0
Ayame,283,123,302,448,665,975,0,0
Towa,213,146,453,460,813,564,0,0
Noel,209,279,530,377,556,659,0,0
Polka,226,150,349,334,652,609,246,0
Baelz,186,132,461,363,655,216,0,0
Shion,160,129,267,158,461,514,200,59
Aki,210,170,527,166,276,391,0,0
Laplus,36,73,191,153,1030,0,0,0
Matsuri,141,102,282,261,260,360,0,0
Choco,228,241,323,131,222,124,81,0
Kobo,204,110,265,303,407,0,0,0
Reine,167,100,171,72,230,260,0,0
IRyS,81,58,145,150,296,219,0,0
Risu,198,114,240,128,103,85,35,0
Ollie,208,96,151,85,113,176,0,0
Roboco,79,61,184,104,124,256,0,0
Mel,77,60,158,158,170,77,64,0
Zeta,114,57,191,158,226,0,0,0
Moona,76,49,106,117,144,109,13,0
Iofi,82,51,101,74,99,77,30,0
Anya,37,24,88,270,0,0,0,0
