member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1049,628,2811,1886,2829,2121,1296,369
Pekora,741,516,1563,1324,5832,0,0,0
Watame,387,476,917,1024,1625,1105,1188,330
Subaru,533,313,977,826,1210,1151,968,346
Koyori,450,256,754,975,1888,1826,0,0
AZki,656,417,1361,1632,1392,198,286,0
Marine,325,163,552,945,1339,1019,1015,501
Fubuki,411,369,826,963,1265,880,543,366
Okayu,349,272,867,730,900,777,673,246
Raora,4794,0,0,0,0,0,0,0
Mio,783,160,497,679,766,818,1044,0
Aqua,475,437,677,570,700,557,798,506
FuwaMoco,304,150,663,3529,0,0,0,0
Calli,753,297,847,736,693,597,697,0
Suisei,132,111,586,668,2797,0,0,0
Bijou,459,263,832,2438,0,0,0,0
Fauna,269,202,519,552,1126,1231,0,0
Raden,374,243,682,2437,0,0,0,0
Noel,360,266,644,670,631,523,404,165
Ririka,499,295,1022,1841,0,0,0,0
Lamy,171,123,344,379,678,870,987,0
Kanata,141,82,358,460,906,660,488,297
IRyS,219,153,517,403,771,1315,0,0
Kiara,382,185,424,447,474,518,879,0
Korone,225,145,362,285,594,1630,0,0
Cecilia,3228,0,0,0,0,0,0,0
Polka,415,326,638,363,499,406,524,0
Iroha,241,179,336,444,821,1113,0,0
Sora,183,143,455,544,690,354,628,0
Chloe,214,180,410,432,773,972,0,0
Kronii,268,176,516,438,476,1049,0,0
Luna,222,167,425,508,789,317,279,132
Kanade,250,188,568,1771,0,0,0,0
Nene,243,193,449,434,588,334,445,0
Shiori,239,138,537,1766,0,0,0,0
Towa,127,78,236,478,744,587,318,108
Nerissa,247,122,412,1846,0,0,0,0
Ina,78,67,170,221,461,574,917,0
Ayame,116,42,236,346,642,1101,0,0
Baelz,185,148,452,415,588,642,0,0
Flare,69,52,209,314,500,523,478,222
Lui,167,194,363,413,524,650,0,0
Hajime,299,279,560,1168,0,0,0,0
Botan,97,72,173,331,472,472,556,0
Mumei,107,79,260,330,428,899,0,0
Amelia,100,93,172,158,307,398,806,0
Kaela,162,155,395,419,634,187,0,0
Laplus,127,105,249,173,1281,0,0,0
Aki,139,83,361,556,254,211,287,0
Gigi,1708,0,0,0,0,0,0,0
Haato,135,109,270,299,132,220,289,72
Ao,213,143,455,593,0,0,0,0
Risu,379,134,298,196,149,61,80,0
Matsuri,74,29,91,134,241,423,0,0
Roboco,81,41,145,134,134,317,0,0
Iofi,240,76,164,95,95,72,87,0
Choco,70,67,162,123,195,86,114,0
Kobo,76,31,118,130,217,142,0,0
Zeta,95,55,124,131,189,110,0,0
Ollie,57,35,94,93,83,163,0,0
Reine,46,25,65,80,71,104,115,0
Moona,71,38,85,72,92,75,52,2
Anya,53,27,77,54,67,37,44,0
