member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,951,850,2146,2496,2799,2122,1558,736
Pekora,1268,639,1256,1011,5635,0,0,0
Fubuki,681,463,1277,1226,1580,1145,853,649
Marine,736,331,751,755,1520,1244,1134,945
Fauna,1960,457,863,696,1243,998,860,0
Watame,648,383,767,845,1327,926,1297,771
Subaru,721,373,919,804,1015,884,1036,483
Okayu,693,398,716,920,988,787,720,446
Suisei,481,282,517,775,3395,0,0,0
Mio,497,258,885,641,897,864,1344,0
Koyori,440,294,555,596,1313,1698,451,0
AZki,503,385,774,1191,1879,264,239,0
Kanata,515,246,503,557,1110,946,796,527
Lamy,613,234,465,419,691,887,771,597
Cecilia,1206,562,2732,0,0,0,0,0
Ina,453,125,391,312,623,702,1085,735
Nene,791,372,520,574,735,456,570,314
Chloe,810,222,477,505,841,1433,0,0
Bijou,771,284,685,691,1708,0,0,0
Kanade,695,316,838,634,1563,0,0,0
Raora,1088,400,2528,0,0,0,0,0
Calli,574,408,602,437,598,473,574,313
Raden,416,216,750,700,1813,0,0,0
Ayame,415,118,334,355,671,1968,0,0
Chihaya,3758,0,0,0,0,0,0,0
Korone,268,109,316,465,597,1887,0,0
Noel,580,276,509,437,678,365,429,252
Shion,510,171,680,163,536,441,491,398
Polka,378,243,581,539,482,457,353,314
FuwaMoco,355,164,540,438,1765,0,0,0
Towa,163,76,357,405,807,762,446,237
Baelz,630,303,438,434,584,418,380,0
Iroha,283,185,248,394,761,1209,0,0
Gigi,695,325,1993,0,0,0,0,0
Kronii,517,245,442,305,421,388,691,0
Kiara,299,136,312,233,428,387,598,451
Hajime,450,227,605,500,1029,0,0,0
Shiori,428,220,484,472,1202,0,0,0
Elizabeth,748,294,1648,0,0,0,0,0
Ririka,296,231,490,570,1055,0,0,0
Su,2629,0,0,0,0,0,0,0
Sora,270,143,330,356,566,317,621,0
Lui,372,169,307,360,454,544,211,0
Nerissa,372,177,364,342,1148,0,0,0
IRyS,192,118,197,263,406,525,609,0
Flare,149,87,203,236,441,403,482,290
Botan,122,48,171,157,434,405,439,260
Luna,194,80,262,231,408,318,252,225
Haato,470,162,266,168,200,174,278,187
Aki,258,137,288,334,427,166,263,0
Kaela,223,117,259,299,487,435,0,0
Vivi,1812,0,0,0,0,0,0,0
Laplus,129,66,144,171,1111,0,0,0
Riona,1578,0,0,0,0,0,0,0
Ao,282,133,332,393,366,0,0,0
Niko,1379,0,0,0,0,0,0,0
Matsuri,255,87,135,111,203,490,0,0
Roboco,120,40,116,136,133,323,0,0
Zeta,193,94,140,65,136,157,0,0
Risu,181,101,167,117,91,51,32,30
Reine,103,40,78,70,82,122,213,0
Kobo,112,42,114,117,157,158,0,0
Ollie,144,42,110,58,103,182,0,0
Anya,148,74,90,77,79,65,76,0
Moona,117,32,70,50,84,101,76,24
Choco,42,21,51,76,145,73,97,0
Iofi,125,49,74,66,54,49,43,25
