member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1262,880,2483,1931,3075,1558,354,23
Koyori,1963,1172,2610,1852,2791,0,0,0
Pekora,885,582,1858,1302,5015,0,0,0
Watame,933,653,1355,1089,1751,1350,256,0
Suisei,591,575,1547,982,3343,0,0,0
Marine,671,363,1088,1107,1652,1483,442,0
Ina,636,330,851,671,1771,2012,0,0
Subaru,1147,573,471,746,1768,1358,0,0
Chloe,1056,581,1534,774,2103,0,0,0
Fubuki,920,514,1032,939,1431,680,296,99
Fauna,706,520,1064,887,1733,0,0,0
Sora,1373,543,791,511,567,946,0,0
Okayu,488,326,880,603,1209,1168,0,0
Kanata,577,428,1119,609,1096,607,225,0
Kronii,802,530,572,456,1806,0,0,0
Calli,808,442,577,455,955,892,0,0
IRyS,480,285,642,619,1843,0,0,0
Korone,255,198,429,440,1008,1503,0,0
Lamy,301,173,481,547,1148,1138,0,0
Mio,665,275,371,516,864,1044,0,0
Iroha,445,324,986,455,1506,0,0,0
Luna,737,474,815,562,495,396,102,0
Gura,206,129,287,437,969,1497,0,0
Nene,350,361,784,489,723,798,0,0
Laplus,303,209,416,443,2074,0,0,0
Towa,235,338,672,604,1014,560,0,0
Flare,319,264,504,514,918,675,214,0
Mumei,384,288,527,569,1577,0,0,0
Kiara,386,237,427,321,861,942,0,0
AZki,1094,555,617,253,278,374,0,0
Baelz,521,361,634,455,1091,0,0,0
Aki,1198,416,334,270,337,470,0,0
Noel,370,256,549,350,711,591,0,0
Amelia,241,170,340,362,698,967,0,0
Lui,358,249,563,628,909,0,0,0
Botan,269,148,462,411,694,626,0,0
Polka,298,122,331,413,628,772,0,0
Kaela,389,255,738,1025,0,0,0,0
Kobo,432,222,449,600,202,0,0,0
Matsuri,355,162,418,283,284,336,0,0
Zeta,619,244,300,495,0,0,0,0
Roboco,404,165,277,114,236,352,0,0
Mel,243,146,299,207,231,175,0,0
Moona,248,108,185,160,205,111,0,0
Shion,105,66,65,86,302,256,67,26
Risu,281,142,171,122,99,103,0,0
Reine,56,44,85,118,198,194,0,0
Iofi,208,107,138,72,87,81,0,0
Ollie,151,110,98,62,132,125,0,0
Choco,40,19,68,70,122,70,33,0
Anya,56,41,94,213,0,0,0,0
