member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,2871,1063,1882,2214,2937,2275,1040,207
Suisei,1296,387,1327,1574,5663,0,0,0
Pekora,1296,554,1457,1166,5590,0,0,0
Marine,423,264,1044,988,1521,1179,1107,235
Koyori,462,293,928,1254,2226,1520,0,0
Fubuki,537,353,1142,1126,1359,1183,593,273
Subaru,795,467,919,969,1027,2239,0,0
Watame,323,322,856,1206,1330,1239,995,110
AZki,465,403,1501,1673,610,197,223,0
Okayu,516,450,738,638,955,735,563,174
Fauna,478,252,587,868,1270,1192,0,0
IRyS,829,285,579,593,916,1410,0,0
Calli,452,318,945,708,697,800,618,0
Bijou,457,410,1296,2146,0,0,0,0
Kanade,689,431,3128,0,0,0,0,0
Iroha,260,140,692,775,1044,1324,0,0
Ririka,533,513,3059,0,0,0,0,0
Nene,421,230,692,732,724,653,615,0
Ina,151,107,254,420,859,1040,1191,0
FuwaMoco,221,285,1058,2402,0,0,0,0
Raden,396,377,3136,0,0,0,0,0
Chloe,343,205,538,674,994,1096,0,0
Mio,228,135,638,543,828,651,780,0
Noel,346,230,592,664,586,1043,0,0
Kronii,393,210,562,513,525,1212,0,0
Kanata,94,110,389,517,958,612,558,0
Luna,214,162,497,745,725,460,367,67
Flare,160,115,343,559,646,746,518,140
Shiori,287,325,1445,1138,0,0,0,0
Lamy,130,106,258,377,785,724,804,0
Nerissa,292,250,954,1587,0,0,0,0
Towa,152,63,490,509,913,562,384,0
Aqua,139,101,310,505,486,528,607,269
Kaela,435,275,633,625,924,0,0,0
Hajime,449,305,2103,0,0,0,0,0
Kiara,160,114,356,366,402,620,654,0
Sora,197,118,403,605,500,805,0,0
Korone,91,80,232,306,475,1440,0,0
Lui,204,146,516,488,705,555,0,0
Polka,76,75,278,326,544,403,508,0
Baelz,326,195,423,417,394,442,0,0
Ao,544,378,1226,0,0,0,0,0
Botan,105,74,282,319,500,446,421,0
Aki,195,205,668,311,232,163,252,0
Mumei,153,156,237,334,471,636,0,0
Laplus,139,98,168,233,1093,0,0,0
Ayame,65,62,195,206,407,770,0,0
Kobo,231,129,303,233,497,0,0,0
Roboco,208,107,234,179,162,380,0,0
Haato,88,98,302,119,149,231,270,0
Amelia,47,18,73,100,224,315,415,0
Matsuri,103,51,133,172,279,405,0,0
Zeta,170,114,215,190,386,0,0,0
Risu,252,168,212,151,156,57,68,0
Choco,112,114,223,192,150,110,104,0
Reine,152,94,162,117,158,179,108,0
Ollie,166,79,188,115,82,155,0,0
Moona,139,27,88,64,131,126,65,0
Anya,121,60,122,333,0,0,0,0
Iofi,74,59,101,68,64,55,50,0
