member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Sakuna,2072,5512,0,0,0,0,0,0
Dooby,1233,525,0,0,0,0,0,0
Rica,90,59,85,229,43,69,0,0
