member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1183,1593,2145,2036,2991,2343,1193,263
Pekora,1021,686,1384,1062,5673,0,0,0
Watame,319,262,976,1240,1459,1297,1051,178
Fubuki,528,334,1097,1254,1350,1186,574,302
AZki,918,446,1848,1880,825,243,288,0
Koyori,342,266,773,1106,1942,1496,0,0
Okayu,636,340,1089,702,1081,905,670,190
Subaru,342,310,761,869,988,1339,633,204
Calli,744,382,1062,799,694,815,637,0
Bijou,630,392,1343,2451,0,0,0,0
Kanata,263,133,637,671,1322,947,805,0
Marine,263,211,725,709,1042,817,793,208
FuwaMoco,284,181,1161,3135,0,0,0,0
Ririka,765,432,2434,748,0,0,0,0
Fauna,375,228,503,742,1160,1114,0,0
Raden,330,219,1710,1699,0,0,0,0
Iroha,251,155,634,650,988,1244,0,0
Flare,350,181,449,599,698,800,591,174
Kanade,554,364,2874,0,0,0,0,0
Mio,194,155,603,549,769,663,792,0
Lamy,189,89,318,436,840,898,911,0
Nerissa,315,218,979,2029,0,0,0,0
Nene,312,196,542,599,700,547,572,0
Gura,122,84,358,231,562,2082,0,0
Korone,214,84,328,371,598,1841,0,0
Polka,422,112,415,505,696,588,679,0
Aqua,169,119,340,545,523,609,695,403
Shiori,491,258,1046,1600,0,0,0,0
IRyS,275,317,432,433,765,1172,0,0
Luna,373,199,534,706,738,398,365,72
Noel,428,203,560,598,568,986,0,0
Ayame,224,89,427,362,799,1412,0,0
Ina,127,84,247,331,694,859,933,0
Lui,290,164,587,617,804,680,0,0
Chloe,203,130,422,483,899,991,0,0
Kronii,276,216,476,468,501,1117,0,0
Mumei,230,202,441,489,631,955,0,0
Botan,239,125,365,412,616,594,573,0
Kaela,436,290,636,627,891,0,0,0
Kiara,228,138,427,382,438,596,648,0
Sora,216,126,373,606,578,858,0,0
Hajime,400,235,1471,471,0,0,0,0
Towa,184,81,309,363,698,486,251,65
Baelz,116,158,383,395,484,585,0,0
Aki,145,142,624,419,240,156,245,0
Ao,311,246,1063,302,0,0,0,0
Haato,108,72,329,170,149,255,303,37
Roboco,236,157,257,200,150,369,0,0
Risu,259,149,273,166,149,63,81,0
Kobo,180,90,230,192,310,0,0,0
Matsuri,75,43,133,141,236,339,0,0
Zeta,135,83,194,169,321,0,0,0
Ollie,247,93,185,120,77,177,0,0
Moona,200,79,146,95,141,145,86,0
Laplus,53,27,74,88,587,0,0,0
Reine,77,71,118,99,128,121,110,0
Iofi,141,49,134,82,87,64,76,0
Anya,75,56,97,277,0,0,0,0
Choco,19,21,125,113,94,53,62,0
Shion,7,2,25,57,58,113,87,41
