member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,842,722,1871,2480,2941,933,105,0
Pekora,1230,809,1513,1279,4699,0,0,0
Suisei,1493,473,1214,2121,3513,0,0,0
Koyori,1871,789,1847,3682,0,0,0,0
Fubuki,925,688,1211,1563,1651,761,171,56
Chloe,2334,637,820,3227,0,0,0,0
Watame,588,326,1179,1122,2236,1050,0,0
Marine,781,331,1002,991,1613,1141,0,0
Lamy,630,243,846,1261,1641,1054,0,0
Iroha,855,266,793,3303,0,0,0,0
Subaru,213,169,697,1044,2058,769,0,0
Korone,808,226,425,696,1541,1171,0,0
Gura,335,218,524,667,1949,1124,0,0
IRyS,965,385,595,800,1788,0,0,0
Aqua,295,123,504,760,1420,1168,0,0
Lui,1070,475,1039,1665,0,0,0,0
Nene,814,462,711,638,978,445,0,0
Kanata,428,281,608,841,1153,649,0,0
Fauna,565,317,836,836,1360,0,0,0
Okayu,303,208,505,923,1230,601,0,0
Flare,496,285,735,592,1031,533,58,0
Ayame,153,264,742,583,1321,578,0,0
Laplus,265,111,472,2686,0,0,0,0
Kaela,1288,630,1590,0,0,0,0,0
Mumei,385,222,649,783,1379,0,0,0
Mio,174,84,571,638,1091,813,0,0
Amelia,142,112,466,471,1407,695,0,0
Kronii,321,152,497,592,1696,0,0,0
Calli,234,132,457,623,1157,457,0,0
Kiara,239,161,321,522,1158,573,0,0
Botan,335,160,526,473,1024,431,0,0
Towa,238,163,591,821,745,361,0,0
Noel,325,125,436,513,823,455,0,0
Kobo,723,315,1222,355,0,0,0,0
Shion,76,37,303,577,947,467,105,0
Baelz,397,217,448,655,783,0,0,0
Luna,506,310,522,283,525,323,0,0
Haato,784,405,279,179,452,255,0,0
Sora,288,149,449,319,1115,0,0,0
Polka,167,96,386,402,625,463,0,0
Zeta,701,243,859,0,0,0,0,0
Matsuri,331,130,332,170,342,241,0,0
AZki,321,70,166,188,533,0,0,0
Mel,354,141,164,182,177,132,0,0
Moona,170,113,293,201,293,57,0,0
Aki,46,25,194,168,270,272,0,0
Reine,116,64,182,159,421,0,0,0
Roboco,72,42,108,136,219,235,0,0
Ollie,220,55,74,102,290,0,0,0
Choco,97,0,111,430,0,0,0,0
Iofi,135,64,110,68,93,54,0,0
Risu,113,59,107,67,99,59,0,0
Anya,102,56,87,205,0,0,0,0
