member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1172,727,2225,2498,2621,2065,1510,817
Pekora,1948,946,1751,1312,6512,0,0,0
Fubuki,766,392,1262,1031,1453,925,782,603
Watame,683,384,836,812,1275,862,1125,787
Fauna,1421,836,678,576,1023,910,768,0
Marine,516,352,655,523,1242,1000,862,861
Gura,539,359,421,531,641,788,2555,0
Subaru,543,433,839,792,970,767,994,487
Mio,671,407,792,712,939,883,1408,0
Chloe,866,781,641,564,979,1817,0,0
Koyori,380,276,553,614,1368,1496,958,0
Okayu,581,375,725,777,930,717,650,477
AZki,434,263,826,1194,1985,288,239,0
Cecilia,1274,558,2629,739,0,0,0,0
Suisei,329,285,565,681,3303,0,0,0
Bijou,967,406,882,782,2086,0,0,0
Kanata,515,298,570,455,986,886,701,520
Calli,823,415,800,511,659,447,575,356
Lamy,516,243,465,425,626,774,715,635
Kanade,788,343,963,571,1546,0,0,0
FuwaMoco,468,212,722,529,2256,0,0,0
Ina,423,160,371,284,515,693,932,780
Nene,677,274,509,501,692,477,569,429
Chihaya,1561,2461,0,0,0,0,0,0
Korone,428,188,354,429,607,551,1416,0
Raora,737,359,1646,1129,0,0,0,0
Polka,414,225,659,627,577,529,401,432
Nerissa,655,240,590,461,1749,0,0,0
Elizabeth,805,441,2399,0,0,0,0,0
Ayame,412,241,348,282,559,1797,0,0
Gigi,817,442,1847,495,0,0,0,0
Towa,263,123,362,319,851,826,475,279
Shiori,577,328,623,526,1350,0,0,0
Su,1822,1579,0,0,0,0,0,0
Luna,386,180,423,407,644,441,373,320
Kronii,540,212,497,341,438,381,759,0
Raden,283,185,583,531,1542,0,0,0
Sora,388,200,408,426,602,349,672,0
Hajime,506,241,707,460,1068,0,0,0
Noel,295,134,409,421,636,386,379,246
Vivi,2054,759,0,0,0,0,0,0
Shion,364,173,549,136,428,326,398,368
Ririka,439,243,520,477,960,0,0,0
Baelz,376,185,463,347,517,356,382,0
Kiara,149,118,267,221,392,327,494,444
Flare,167,78,179,211,433,390,500,328
Niko,1656,621,0,0,0,0,0,0
Botan,190,74,190,163,396,387,361,304
IRyS,131,66,176,247,401,447,573,0
Kaela,290,168,311,323,502,435,0,0
Lui,165,94,221,285,416,455,294,0
Riona,1178,727,0,0,0,0,0,0
Matsuri,526,139,186,124,241,562,0,0
Iroha,97,117,121,187,424,748,0,0
Ao,358,135,359,340,456,0,0,0
Risu,495,164,287,258,185,113,57,57
Aki,170,84,205,261,451,168,239,0
Laplus,85,56,94,143,952,0,0,0
Haato,226,107,144,109,155,116,191,152
Roboco,198,80,169,167,168,168,242,0
Mumei,83,37,124,128,221,554,0,0
Zeta,319,99,169,101,160,191,0,0
Choco,68,34,88,87,203,94,131,0
Iofi,197,63,90,78,68,57,44,38
Reine,64,38,61,51,69,111,186,0
Moona,118,25,78,57,85,105,78,33
Ollie,126,39,101,66,93,140,0,0
Anya,60,48,62,58,66,49,66,0
Kobo,43,26,54,78,96,107,0,0
