member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1626,805,2312,1940,3049,1904,429,40
Pekora,1019,729,1500,1493,5326,0,0,0
Koyori,817,571,1679,1754,2897,0,0,0
Gura,811,339,556,565,1615,3265,0,0
Marine,966,409,989,930,1635,1430,761,0
Suisei,620,356,1335,1341,3387,0,0,0
Watame,526,469,1578,1018,1419,1468,455,0
Aqua,1044,428,674,653,1078,1373,620,147
Fubuki,495,385,1064,960,1368,798,372,123
Okayu,626,323,842,935,1318,1468,0,0
Subaru,433,453,830,659,1411,1597,0,0
Mio,827,409,674,567,1134,1019,563,0
FuwaMoco,5181,0,0,0,0,0,0,0
Iroha,364,380,1097,929,2284,0,0,0
Ina,207,152,425,603,1263,2057,0,0
Fauna,496,326,1055,875,1944,0,0,0
IRyS,550,336,735,686,1363,708,0,0
Calli,661,354,792,427,950,1111,0,0
Noel,905,380,720,529,815,855,0,0
Kiara,567,323,623,374,840,1421,0,0
Nene,347,317,904,682,798,1008,0,0
Sora,664,412,977,485,539,873,0,0
Chloe,378,190,859,863,1588,0,0,0
Flare,376,345,756,447,848,756,343,0
Lamy,193,140,393,524,1184,1409,0,0
Towa,488,267,647,651,1068,708,0,0
Mumei,507,278,605,467,1816,0,0,0
Korone,143,160,450,423,852,1641,0,0
AZki,652,699,1319,369,259,346,0,0
Bijou,3630,0,0,0,0,0,0,0
Luna,494,394,925,667,485,385,222,0
Kaela,677,332,812,862,634,0,0,0
Lui,391,317,733,556,1152,0,0,0
Baelz,364,307,672,463,1245,0,0,0
Kronii,300,248,596,293,1607,0,0,0
Ayame,199,130,296,716,603,1034,0,0
Polka,357,176,374,348,749,914,0,0
Shion,340,191,369,207,751,651,208,64
Botan,285,176,377,435,690,816,0,0
Nerissa,2505,0,0,0,0,0,0,0
Amelia,141,81,259,276,561,1039,0,0
Aki,274,317,583,110,309,408,0,0
Laplus,148,122,300,149,1102,0,0,0
Matsuri,165,112,277,263,269,386,0,0
Kobo,176,100,302,352,464,0,0,0
Kanata,63,42,217,274,358,247,164,0
Zeta,199,106,270,253,283,0,0,0
Roboco,148,102,242,135,152,289,0,0
Reine,274,110,137,75,200,220,0,0
Risu,192,110,200,126,103,127,0,0
Ollie,233,93,152,67,127,157,0,0
Choco,78,149,222,81,121,98,52,0
Mel,106,70,167,156,152,109,36,0
Anya,265,90,145,269,0,0,0,0
Moona,96,59,115,137,176,118,7,0
Iofi,76,54,97,76,96,77,20,0
