,
Haato,3.91
Subaru,1.96
Mel,1.86
Ayame,1.43
Okayu,1.24
Fubuki,1.1
Suisei,0.87
Shion,0.86
Roboco,0.85
Miko,0.84
Sora,0.76
Luna,0.75
Aqua,0.73
Iofi,0.7
AZki,0.61
Moona,0.56
Choco,0.49
Botan,0.47
Towa,0.38
Risu,0.35
Pekora,0.33
Ollie,0.33
Aki,0.29
Roberu,0.28
Rushia,0.26
Lamy,0.26
Korone,0.21
Mio,0.21
Kanata,0.2
Flare,0.17
Coco,0.15
Anya,0.15
Watame,0.13
Astel,0.13
Polka,0.11
Reine,0.11
Noel,0.09
Oga,0.08
Nene,0.07
Marine,0.05
Matsuri,0.04
Miyabi,0.02
Temma,0.02
Aruran,0.01
Shien,0.01
Izuru,0
Rikka,0
