,
Lamy,1.98
Roboco,1.2
Ayame,1.19
Iroha,1.13
Sora,1.06
Risu,1.05
Koyori,0.97
Haato,0.79
Ririka,0.66
Iofi,0.66
Korone,0.52
Mel,0.47
Ollie,0.36
Anya,0.34
Watame,0.3
Zeta,0.28
Azki,0.25
Aqua,0.17
Towa,0.17
Moona,0.17
Flare,0.16
Reine,0.1
Kaela,0.1
Subaru,0.09
Shion,0.08
Mio,0.08
Pekora,0.08
Hajime,0.07
Ao,0.07
Kobo,0.07
IryS,0.05
Calli,0.04
FuwaMoco,0.04
Luna,0.02
Nene,0.02
Suisei,0.01
Okayu,0.01
Kanade,0.01
Miko,0
Fubuki,0
Matsuri,0
Aki,0
Choco,0
Noel,0
Marine,0
Kanata,0
Botan,0
Polka,0
Laplus,0
Lui,0
Chloe,0
Raden,0
