,
Lamy,7663
Fubuki,5354
Roboco,5028
Subaru,4234
Luna,2943
Pekora,2915
Miko,2758
Towa,2703
Haato,2588
Iofi,2460
Aqua,2063
Sora,2055
Watame,1847
Ollie,1298
Mio,1264
Ayame,1203
Botan,1148
Reine,1035
Rikka,963
Risu,733
Flare,708
Kanata,691
Mel,550
Okayu,548
Anya,524
Nene,498
Roberu,437
Temma,434
Aruran,431
Moona,400
Polka,374
Marine,328
Korone,316
Aki,302
Oga,287
Matsuri,234
Suisei,194
Choco,189
AZki,141
Rushia,72
Shion,61
Astel,35
Shien,8
Noel,4
Miyabi,4
Izuru,0
